STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/4/21,42,46,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/5/21,30,39,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/6/21,33,37,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/7/21,33,43,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/8/21,34,45,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/9/21,48,66,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/10/21,46,52,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/11/21,54,75,44
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/12/21,63,71,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/13/21,46,53,33
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/14/21,46,56,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/15/21,33,41,24
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/16/21,33,38,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/17/21,39,46,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/18/21,44,46,41
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/19/21,40,46,33
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/20/21,43,60,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/21/21,49,63,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/22/21,48,59,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/23/21,49,64,38
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/24/21,52,58,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/25/21,56,67,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/26/21,64,84,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/27/21,59,69,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/28/21,55,66,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/29/21,52,57,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/30/21,50,61,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/31/21,56,69,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/1/21,49,58,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/2/21,36,40,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/3/21,40,54,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/4/21,51,67,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/5/21,58,70,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/6/21,58,71,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/7/21,59,71,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/8/21,57,68,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/9/21,52,53,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/10/21,55,67,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/11/21,55,58,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/12/21,47,50,44
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/13/21,52,66,41
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/14/21,58,72,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/15/21,56,58,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/16/21,47,55,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/17/21,48,54,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/18/21,54,63,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/19/21,58,68,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/20/21,61,78,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/21/21,61,75,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/22/21,44,51,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/23/21,51,67,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/24/21,60,72,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/25/21,58,67,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/26/21,54,64,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/27/21,55,63,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/28/21,66,89,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/29/21,71,80,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/30/21,68,73,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/1/21,54,68,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/2/21,67,86,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/3/21,66,71,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/4/21,61,75,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/5/21,57,64,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/6/21,59,69,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/7/21,58,66,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/8/21,53,55,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/9/21,52,65,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/10/21,54,63,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/11/21,59,70,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/12/21,59,71,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/13/21,63,74,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/14/21,65,78,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/15/21,68,79,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/16/21,67,76,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/17/21,66,80,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/18/21,71,85,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/19/21,77,91,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/20/21,71,76,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/21/21,69,83,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/22/21,80,96,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/23/21,84,94,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/24/21,68,68,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/25/21,67,81,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/26/21,77,94,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/27/21,76,87,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/28/21,65,71,52
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/29/21,51,52,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/30/21,50,53,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/31/21,58,76,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/1/21,68,80,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/2/21,70,79,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/3/21,68,77,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/4/21,73,83,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/5/21,77,95,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/6/21,86,97,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/7/21,85,95,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/8/21,83,93,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/9/21,81,96,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/10/21,79,85,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/11/21,68,73,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/12/21,68,72,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/13/21,69,78,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/14/21,71,78,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/15/21,74,85,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/16/21,72,81,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/17/21,71,81,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/18/21,74,88,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/19/21,79,93,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/20/21,77,91,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/21/21,83,92,76
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/22/21,74,80,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/23/21,66,80,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/24/21,70,79,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/25/21,71,83,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/26/21,77,86,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/27/21,83,95,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/28/21,86,99,77
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/29/21,89,102,79
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/30/21,92,103,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/1/21,80,89,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/2/21,75,81,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/3/21,65,70,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/4/21,71,84,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/5/21,77,89,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/6/21,84,97,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/7/21,82,97,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/8/21,83,88,75
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/9/21,79,91,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/10/21,78,86,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/11/21,76,82,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/12/21,80,93,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/13/21,75,78,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/14/21,78,93,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/15/21,82,91,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/16/21,87,96,77
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/17/21,85,93,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/18/21,79,86,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/19/21,78,86,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/20/21,81,90,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/21/21,80,85,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/22/21,77,85,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/23/21,77,86,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/24/21,76,85,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/25/21,78,87,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/26/21,84,93,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/27/21,85,94,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/28/21,78,87,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/29/21,76,81,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/30/21,77,87,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/31/21,72,81,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/1/21,73,80,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/2/21,73,84,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/3/21,73,82,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/4/21,74,80,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/5/21,75,86,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/6/21,79,92,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/7/21,81,91,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/8/21,76,86,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/9/21,76,85,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/10/21,79,88,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/11/21,81,95,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/12/21,84,98,75
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/13/21,89,99,78
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/14/21,87,92,78
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/15/21,79,87,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/16/21,76,83,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/17/21,78,83,75
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/18/21,79,85,76
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/19/21,83,90,78
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/20/21,81,85,76
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/21/21,79,83,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/22/21,76,78,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/23/21,78,90,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/24/21,83,93,75
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/25/21,85,96,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/26/21,86,97,75
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/27/21,85,96,77
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/28/21,78,82,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/29/21,73,78,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/30/21,79,91,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/31/21,82,89,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/1/21,75,79,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/2/21,70,80,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/3/21,69,78,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/4/21,71,82,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/5/21,72,77,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/6/21,77,86,70
